video,status,npz_files,total_wall_s,gpu_util_max,gpu_util_mean,gpu_util_p95,gpu_mem_peak_mib,gpu_mem_mean_mib,gpu_samples
DZqPjmSf1Y8,complete,7,432.9,100.0,8.6,67.0,3592.0,2460.5,400
Dbh2OYrjgww,complete,7,289.9,100.0,7.0,54.0,2840.0,2435.7,270
DcNiWpGJbG8,complete,7,353.5,100.0,5.9,49.0,2649.0,2436.8,330
DdUHw8lsOyQ,complete,7,157.5,86.0,5.5,47.0,2637.0,2435.6,149
DfRB8Pu7srs,complete,7,324.4,100.0,5.1,43.0,2637.0,2435.2,301
DgjTfRylEiw,complete,7,266.8,78.0,2.3,14.0,2637.0,2437.9,252
DlIBNFkmuNA,complete,7,396.4,100.0,4.8,39.0,2637.0,2436.8,366
DmbooDM_0_I,complete,7,191.9,100.0,5.3,49.0,2637.0,2442.6,181
DmetH_GUFAo,complete,7,196.4,100.0,3.5,16.0,2637.0,2437.9,183
Dph-liX7Uxs,complete,7,343.1,100.0,6.6,49.0,2637.0,2433.3,322
DpzFS4Q9UcI,complete,7,386.4,100.0,9.3,73.0,3290.0,2449.4,357
DqYC1raPNgM,complete,7,261.7,100.0,4.3,36.0,2637.0,2436.3,248
DtRUbppLWZs,complete,9,495.2,100.0,2.4,6.0,3282.0,2436.6,462
Du-0hHKk_kw,complete,7,263.2,100.0,7.2,51.0,2844.0,2437.1,248
DvB9as76vug,complete,7,638.5,100.0,7.1,67.0,3403.0,1726.8,499
Dw5Ai4OYrzY,complete,7,196.3,100.0,8.6,74.0,3220.0,2441.7,186
DwVQJmPgU2w,complete,7,325.8,100.0,2.0,11.0,2637.0,2440.0,292
