video,status,npz_files,total_wall_s,gpu_util_max,gpu_util_mean,gpu_util_p95,gpu_mem_peak_mib,gpu_mem_mean_mib,gpu_samples
1QUK9yDCfqI,complete,8,236.4,100.0,4.0,20.0,2891.0,2635.9,223
1QYO9ALDSeA,complete,8,369.4,100.0,2.0,5.0,3633.0,2624.7,346
1TTfRRWSZVQ,complete,8,383.5,71.0,2.2,11.0,3262.0,2621.7,360
1UEPCnrxVDk,complete,8,256.0,83.0,2.1,7.0,3262.0,2609.2,241
1WGzT8QYoBs,complete,8,240.5,100.0,2.1,6.0,3633.0,2686.9,226
1X_xTw9VMps,complete,8,419.1,100.0,2.8,19.0,4004.0,2646.9,393
1X_yHZZQ3Gk,complete,8,194.4,73.0,1.0,2.0,2891.0,2631.0,184
1a5nyrMtRsk,complete,8,309.5,100.0,7.9,49.0,2944.0,2511.0,287
1anGpmhq7Io,complete,8,237.7,100.0,7.4,39.0,2944.0,2527.2,221
1auqZEQ4YyE,complete,8,322.1,100.0,2.7,11.0,3262.0,2607.9,304
1bMdRr7QklY,complete,8,234.6,100.0,1.4,2.0,3262.0,2594.1,221
1boEmxDNJHE,complete,8,348.2,83.0,1.9,5.0,3262.0,2632.5,328
1bzuQncBqSM,complete,8,240.2,40.0,1.1,4.0,2891.0,2628.1,227
1cxI1cg9QuQ,complete,8,334.8,100.0,3.4,12.0,3262.0,2628.1,314
1dDyy3vxZFU,complete,8,176.5,35.0,0.9,7.0,2891.0,2555.7,166
1hX4SK2USQI,complete,8,359.4,100.0,2.8,11.0,3262.0,2658.6,337
1hg8Lep9A2Q,complete,8,405.5,100.0,0.5,2.0,2891.0,2549.8,380
1jMgcEuJkcc,complete,8,378.4,61.0,0.7,2.0,2891.0,2541.6,353
1kHW31AL-Do,complete,8,207.5,100.0,3.0,11.0,3262.0,2611.2,195
1kZ1493Le94,complete,8,353.1,100.0,1.8,4.0,3567.0,2580.4,333
1kvkDoIzYhw,complete,8,282.8,100.0,2.2,6.0,3285.0,2539.4,265
1luUofppMHE,complete,8,481.9,99.0,2.1,8.0,3262.0,2662.0,450
1mzpuUzLKx4,complete,8,351.6,100.0,2.7,6.0,2891.0,2595.2,332
1nEYTBOF248,complete,8,234.8,99.0,2.8,3.0,2891.0,2621.2,221
1nW74HxDj-c,complete,8,449.6,100.0,1.7,4.0,3262.0,2602.1,422
1qOHtT7nxsQ,complete,8,356.6,60.0,1.7,4.0,3078.0,2666.9,335
1qtPJm6r2H8,complete,8,403.9,96.0,3.0,21.0,4004.0,2682.2,374
1sXcIJYZYS8,complete,8,205.5,100.0,5.9,30.0,2944.0,2531.5,189
1tIpFqjieUk,complete,8,406.1,100.0,2.4,11.0,4004.0,2651.5,380
