a,b,spearman
core_optical_flow__preview_prev_times_s__max,core_optical_flow__preview_prev_times_s__p90,0.9999
core_optical_flow__preview_cur_times_s__p90,core_optical_flow__preview_prev_times_s__mean,0.9999
core_optical_flow__preview_prev_times_s__mean,core_optical_flow__preview_prev_times_s__p90,0.9999
core_optical_flow__preview_prev_times_s__p50,core_optical_flow__preview_prev_times_s__p90,0.9999
core_optical_flow__preview_cur_times_s__mean,core_optical_flow__preview_prev_times_s__p90,0.9999
core_optical_flow__motion_norm_per_sec_mean__std,cut_detection__motion_flow_mag__std,0.9998
core_optical_flow__motion_norm_per_sec_mean__std,cut_detection__flow_mag__std,0.9998
core_optical_flow__motion_norm_per_sec_mean__std,cut_detection__soft_flow_mag__std,0.9998
core_optical_flow__motion_norm_per_sec_mean__mean,cut_detection__motion_flow_mag__mean,0.9997
core_optical_flow__motion_norm_per_sec_mean__mean,cut_detection__flow_mag__mean,0.9997
core_optical_flow__motion_norm_per_sec_mean__mean,cut_detection__soft_flow_mag__mean,0.9997
core_optical_flow__motion_norm_per_sec_mean__p50,cut_detection__flow_mag__p50,0.9995
core_optical_flow__motion_norm_per_sec_mean__p50,cut_detection__soft_flow_mag__p50,0.9995
core_optical_flow__motion_norm_per_sec_mean__p50,cut_detection__motion_flow_mag__p50,0.9995
core_optical_flow__dt_seconds__std,cut_detection__pair_dt_s__std,0.9994
core_optical_flow__preview_cur_times_s__max,cut_detection__union_timestamps_sec__max,0.9993
core_optical_flow__preview_cur_times_s__max,cut_detection__union_timestamps_sec__mean,0.9993
core_optical_flow__preview_cur_times_s__max,cut_detection__pair_times_s__p90,0.9993
core_optical_flow__preview_prev_times_s__p90,cut_detection__union_timestamps_sec__std,0.9993
core_optical_flow__preview_prev_times_s__p90,cut_detection__union_timestamps_sec__p90,0.9993
core_optical_flow__preview_prev_times_s__p90,cut_detection__union_timestamps_sec__p50,0.9993
core_optical_flow__preview_prev_times_s__p90,cut_detection__union_timestamps_sec__mean,0.9993
core_optical_flow__preview_prev_times_s__p50,cut_detection__union_timestamps_sec__p90,0.9993
core_optical_flow__preview_cur_times_s__max,cut_detection__union_timestamps_sec__p50,0.9993
core_optical_flow__preview_cur_times_s__max,cut_detection__union_timestamps_sec__p90,0.9993
core_optical_flow__preview_cur_times_s__max,cut_detection__union_timestamps_sec__std,0.9993
core_optical_flow__preview_prev_times_s__p90,cut_detection__pair_times_s__p50,0.9993
core_optical_flow__preview_prev_times_s__p90,cut_detection__pair_times_s__mean,0.9993
core_optical_flow__preview_cur_times_s__max,cut_detection__pair_times_s__std,0.9993
core_optical_flow__preview_prev_times_s__p50,cut_detection__union_timestamps_sec__std,0.9993
core_optical_flow__preview_cur_times_s__max,cut_detection__pair_times_s__max,0.9993
core_optical_flow__preview_cur_times_s__max,cut_detection__pair_times_s__p50,0.9993
core_optical_flow__preview_cur_times_s__max,cut_detection__pair_times_s__mean,0.9993
core_optical_flow__preview_prev_times_s__p90,cut_detection__pair_times_s__max,0.9993
core_optical_flow__preview_prev_times_s__p90,cut_detection__pair_times_s__p90,0.9993
core_optical_flow__preview_prev_times_s__p90,cut_detection__pair_times_s__std,0.9993
core_optical_flow__preview_prev_times_s__p90,cut_detection__union_timestamps_sec__max,0.9993
core_optical_flow__preview_prev_times_s__std,cut_detection__union_timestamps_sec__mean,0.9993
core_optical_flow__preview_prev_times_s__std,cut_detection__union_timestamps_sec__p50,0.9993
core_optical_flow__preview_prev_times_s__std,cut_detection__union_timestamps_sec__p90,0.9993
core_optical_flow__preview_prev_times_s__std,cut_detection__union_timestamps_sec__std,0.9993
core_optical_flow__times_s__max,cut_detection__pair_times_s__max,0.9993
core_optical_flow__preview_cur_times_s__mean,cut_detection__pair_times_s__std,0.9993
core_optical_flow__preview_prev_times_s__p50,cut_detection__pair_times_s__max,0.9993
core_optical_flow__preview_prev_times_s__p50,cut_detection__pair_times_s__mean,0.9993
core_optical_flow__preview_prev_times_s__p50,cut_detection__pair_times_s__p50,0.9993
core_optical_flow__preview_prev_times_s__p50,cut_detection__pair_times_s__p90,0.9993
core_optical_flow__preview_prev_times_s__p50,cut_detection__pair_times_s__std,0.9993
core_optical_flow__preview_prev_times_s__p50,cut_detection__union_timestamps_sec__max,0.9993
core_optical_flow__preview_prev_times_s__p50,cut_detection__union_timestamps_sec__mean,0.9993
core_optical_flow__preview_prev_times_s__p50,cut_detection__union_timestamps_sec__p50,0.9993
