feature,component,spearman_vs_residual,spearman_vs_target
cut_detection__hist_diff_l1__max,cut_detection,-0.018,-0.0235
video_pacing__frame_embedding_diff_mean,video_pacing,0.018,0.1492
uniqueness__effective_unique_frames,uniqueness,-0.0179,0.0201
scene_classification__fraction_high_confidence_frames__p50,scene_classification,-0.0179,-0.1191
cut_detection__avg_fade_duration,cut_detection,-0.0178,-0.0632
cut_detection__event_strength__p50,cut_detection,-0.0178,0.0263
core_clip__frame_embeddings__max,core_clip,0.0177,0.1623
core_clip__scene_atmosphere_scores__std,core_clip,0.0176,0.0612
scene_classification__frame_entropy__p50,scene_classification,0.0176,0.0709
scene_classification__top1_vs_top2_gap_mean__mean,scene_classification,0.0175,-0.0827
scene_classification__start_time_s__p90,scene_classification,0.0175,-0.0572
core_clip__places365_topk_indices__std,core_clip,0.0172,0.0568
core_optical_flow__preview_cur_times_s__min,core_optical_flow,-0.0171,-0.0728
cut_detection__pair_dt_s__std,cut_detection,-0.0171,-0.0172
scene_classification__start_time_s__p50,scene_classification,0.0171,-0.0392
cut_detection__soft_flow_mag__min,cut_detection,-0.017,0.0526
cut_detection__flow_mag__min,cut_detection,-0.017,0.0526
scene_classification__frame_scene_id__mean,scene_classification,0.017,0.0241
core_clip__places365_video_topk_scores__mean,core_clip,0.0168,-0.0461
core_optical_flow__dt_seconds__std,core_optical_flow,-0.0168,-0.019
cut_detection__motion_flow_mag__min,cut_detection,-0.0166,0.0533
scene_classification__frame_scene_id__std,scene_classification,0.0166,0.0326
cut_detection__threshold_flow__mean,cut_detection,-0.0166,0.077
cut_detection__threshold_flow__min,cut_detection,-0.0166,0.077
cut_detection__threshold_flow__p50,cut_detection,-0.0166,0.077
cut_detection__threshold_flow__max,cut_detection,-0.0166,0.077
cut_detection__threshold_flow__p90,cut_detection,-0.0166,0.077
uniqueness__repeat_threshold_used,uniqueness,0.0164,-0.0179
video_pacing__color_change_rate_std,video_pacing,0.0164,0.1281
core_optical_flow__cam_tx_per_sec_norm__min,core_optical_flow,0.0162,-0.0534
core_clip__places365_video_topk_scores__p90,core_clip,0.0162,-0.0492
scene_classification__start_time_s__max,scene_classification,0.0162,-0.0589
core_optical_flow__cam_shake_std_norm__mean,core_optical_flow,-0.0161,0.0805
core_clip__consecutive_cosine_prev__p50,core_clip,0.016,-0.0478
scene_classification__scene_change_score__mean,scene_classification,0.0158,0.0113
scene_classification__frame_topk_ids__max,scene_classification,0.0158,-0.0448
cut_detection__audio_spike_cut_ratio,cut_detection,-0.0158,-0.0773
cut_detection__ssim_drop__std,cut_detection,-0.0158,-0.0032
core_optical_flow__motion_norm_per_sec_mean__mean,core_optical_flow,-0.0158,0.0818
